message;severity;node;stamp;location
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.208032379";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.188061425";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.431 for reason 'Unknown'";"20";"rviz";"1702178248.177888526";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"Timed out waiting for transform from base_link to map to become available, tf error: Invalid frame ID \"map\" passed to canTransform argument target_frame - frame does not exist";"20";"local_costmap.local_costmap";"1702178248.174534934";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_costmap_2d/src/costmap_2d_ros.cpp:on_activate:209"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.168146268";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.148180839";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178247.417 for reason 'Unknown'";"20";"rviz";"1702178248.145090543";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.128724170";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Received a 1148 X 713 map @ 0.100 m/pix";"20";"amcl";"1702178248.113888848";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_amcl/src/amcl_node.cpp:handleMapMessage:1150"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.108039988";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.088817318";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.361 for reason 'Unknown'";"20";"rviz";"1702178248.081926338";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178247.348 for reason 'Unknown'";"20";"rviz";"1702178248.081741227";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.068306206";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.048072994";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.028798222";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.291 for reason 'Unknown'";"20";"rviz";"1702178248.017170685";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178247.278 for reason 'Unknown'";"20";"rviz";"1702178248.017005881";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178248.008037911";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.988800758";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.968804666";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.221 for reason 'Unknown'";"20";"rviz";"1702178247.953758052";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.948051447";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.928076011";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178247.208 for reason 'Unknown'";"20";"rviz";"1702178247.921542019";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.908052793";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.152 for reason 'Unknown'";"20";"rviz";"1702178247.889843767";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.888821648";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.868031966";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178247.139 for reason 'Unknown'";"20";"rviz";"1702178247.857453561";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.849027824";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.828567790";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.082 for reason 'Unknown'";"20";"rviz";"1702178247.825616728";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.808006345";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178247.069 for reason 'Unknown'";"20";"rviz";"1702178247.793684331";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.787920626";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.768948286";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.748005200";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178247.013 for reason 'Unknown'";"20";"rviz";"1702178247.729974609";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178246.999 for reason 'Unknown'";"20";"rviz";"1702178247.729832975";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.727955623";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Waiting for topics ...";"20";"laserscan_multi_merger";"1702178247.682748285";"/home/nuc-bs/ros2_ws/src/lidar/laserscan_multi_merger/src/LaserscanMerger.cpp:laserscan_topic_parser:101"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.708779025";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.688876742";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Timed out waiting for transform from base_link to map to become available, tf error: Invalid frame ID \"map\" passed to canTransform argument target_frame - frame does not exist";"20";"local_costmap.local_costmap";"1702178247.674489729";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_costmap_2d/src/costmap_2d_ros.cpp:on_activate:209"
"Checking transform";"20";"local_costmap.local_costmap";"1702178247.674421392";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_costmap_2d/src/costmap_2d_ros.cpp:on_activate:203"
"Activating";"20";"local_costmap.local_costmap";"1702178247.674408018";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_costmap_2d/src/costmap_2d_ros.cpp:on_activate:193"
"Activating";"20";"controller_server";"1702178247.674363677";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_controller/src/nav2_controller.cpp:on_activate:176"
"[34m[1mActivating controller_server[0m[0m";"20";"lifecycle_manager_navigation";"1702178247.673550654";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_lifecycle_manager/src/lifecycle_manager.cpp:message:261"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.669009447";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178246.943 for reason 'Unknown'";"20";"rviz";"1702178247.665410863";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"Message Filter dropping message: frame 'front_laser_link' at time 1702178246.930 for reason 'Unknown'";"20";"rviz";"1702178247.665204250";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"Configuring";"20";"waypoint_follower";"1702178247.662881150";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_waypoint_follower/src/waypoint_follower.cpp:on_configure:44"
"[34m[1mConfiguring waypoint_follower[0m[0m";"20";"lifecycle_manager_navigation";"1702178247.662010179";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_lifecycle_manager/src/lifecycle_manager.cpp:message:261"
"\"Wait\" BtActionNode initialized";"20";"bt_navigator_rclcpp_node";"1702178247.659823604";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_behavior_tree/include/nav2_behavior_tree/bt_action_node.hpp:BtActionNode:57"
"Waiting for \"wait\" action server";"20";"bt_navigator_rclcpp_node";"1702178247.659541639";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_behavior_tree/include/nav2_behavior_tree/bt_action_node.hpp:createActionClient:73"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.648059387";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"\"ClearGlobalCostmap-Subtree\" BtServiceNode initialized";"20";"bt_navigator_rclcpp_node";"1702178247.642578488";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_behavior_tree/include/nav2_behavior_tree/bt_service_node.hpp:BtServiceNode:58"
"Waiting for \"global_costmap/clear_entirely_global_costmap\" service";"20";"bt_navigator_rclcpp_node";"1702178247.642170026";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_behavior_tree/include/nav2_behavior_tree/bt_service_node.hpp:BtServiceNode:53"
"\"ClearLocalCostmap-Subtree\" BtServiceNode initialized";"20";"bt_navigator_rclcpp_node";"1702178247.639258097";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_behavior_tree/include/nav2_behavior_tree/bt_service_node.hpp:BtServiceNode:58"
"Waiting for \"local_costmap/clear_entirely_local_costmap\" service";"20";"bt_navigator_rclcpp_node";"1702178247.638676280";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_behavior_tree/include/nav2_behavior_tree/bt_service_node.hpp:BtServiceNode:53"
"\"ClearLocalCostmap-Context\" BtServiceNode initialized";"20";"bt_navigator_rclcpp_node";"1702178247.634778791";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_behavior_tree/include/nav2_behavior_tree/bt_service_node.hpp:BtServiceNode:58"
"Waiting for \"local_costmap/clear_entirely_local_costmap\" service";"20";"bt_navigator_rclcpp_node";"1702178247.634543020";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_behavior_tree/include/nav2_behavior_tree/bt_service_node.hpp:BtServiceNode:53"
"\"FollowPath\" BtActionNode initialized";"20";"bt_navigator_rclcpp_node";"1702178247.629995756";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_behavior_tree/include/nav2_behavior_tree/bt_action_node.hpp:BtActionNode:57"
"Waiting for \"follow_path\" action server";"20";"bt_navigator_rclcpp_node";"1702178247.629532840";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_behavior_tree/include/nav2_behavior_tree/bt_action_node.hpp:createActionClient:73"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.627997649";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"\"ClearGlobalCostmap-Context\" BtServiceNode initialized";"20";"bt_navigator_rclcpp_node";"1702178247.615579555";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_behavior_tree/include/nav2_behavior_tree/bt_service_node.hpp:BtServiceNode:58"
"Waiting for \"global_costmap/clear_entirely_global_costmap\" service";"20";"bt_navigator_rclcpp_node";"1702178247.615375865";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_behavior_tree/include/nav2_behavior_tree/bt_service_node.hpp:BtServiceNode:53"
"\"ComputePathToPose\" BtActionNode initialized";"20";"bt_navigator_rclcpp_node";"1702178247.612298811";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_behavior_tree/include/nav2_behavior_tree/bt_action_node.hpp:BtActionNode:57"
"Waiting for \"compute_path_to_pose\" action server";"20";"bt_navigator_rclcpp_node";"1702178247.611979097";"/home/nuc-bs/ros2_ws/src/navigation2/nav2_behavior_tree/include/nav2_behavior_tree/bt_action_node.hpp:createActionClient:73"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.608091469";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
"Message Filter dropping message: frame 'back_laser_link' at time 1702178246.873 for reason 'Unknown'";"20";"rviz";"1702178247.605447022";"/opt/ros/foxy/include/tf2_ros/message_filter.h:signalFailure:653"
"==[WmMotionController__recv_rpm__check]== 100000.00";"20";"WmMotionControllerNode";"1702178247.588796410";"/home/nuc-bs/ros2_ws/src/controller/MotionController/wm_motion_controller/src/wm_motion_controller/wm_motion_controller.cpp:fn_recv_rpm:241"
